BookScan Main Category,BookScan Sub Category,Shopify Collection Name,Product Count,Has Standalone Collection,In Umbrella,Source,Industry Alignment,Handle,Status,Notes
Fiction,(enrichment) Manga,Manga,238,Yes,Fiction,Enrichment,Aligned — now in Fiction umbrella,fiction-manga,Done,Added to Fiction umbrella (Batch 1). Handle renamed (Batch 6)
Fiction,(enrichment) Thriller,—,—,No (deleted),Fiction (via Crime & Thriller),Enrichment,Resolved — standalone removed to fix duplication,—,Done,Standalone deleted (Batch 2). Products still in Crime & Thriller + Fiction umbrella.
Fiction,(enrichment) Translated Fiction,Translated Fiction,29,Yes,Fiction,Enrichment,Niche — okay as subcat,fiction-translated,Done,Added to Fiction umbrella (Batch 1). Handle renamed (Batch 6)
Children,,Kids,6927,Yes,—,BookScan,Aligned — top-level everywhere,kids,No change,
Children,Childrens Fiction,Children's Fiction,2120,Yes,Kids,BookScan,Aligned,kids-fiction,Done,Handle renamed (Batch 6)
Children,Childrens Picture Books,Picture Books,1622,Yes,Kids,BookScan,Aligned,kids-picture-books,Done,Handle renamed (Batch 6)
Children,New Zealand Picture Books,NZ Picture Books,775,Yes,Kids + NZ,BookScan,NZ-specific — good,kids-nz-picture-books,Done,Handle renamed (Batch 6)
Children,Childrens Non Fiction,Children's Non-Fiction,774,Yes,Kids,BookScan,Aligned,kids-non-fiction,Done,Handle renamed (Batch 6)
Children,Books For Babies,Books for Babies,770,Yes,Kids,BookScan,Aligned — Whitcoulls has Early Learning,kids-babies,Done,Handle renamed (Batch 6)
Children,Activities,Activity Books,590,Yes,Kids,BookScan,Aligned,kids-activity,Done,Handle renamed (Batch 6)
Children,Study And Education,Study & Education,269,Yes,Kids,BookScan,Aligned — Whitcoulls has Schools Study Support (NCEA),kids-study-and-education,Done,Handle renamed (Batch 6)
Children,Novelty Books,—,46,No,Kids (via Children maincat tag),BookScan,Covered — all products already have Children maincat tag,—,Skipped,All 46 products already in Kids umbrella via Children tag. No action needed.
History And Politics,,History & Politics,2730,Yes,Non-Fiction,BookScan,MISALIGNED — too broad. Industry separates History / Politics / Religion / Sociology,history-and-politics,Deferred,BookScan cleanup needed — History and Politics subcat overlap (~2732 products have both tags). Action item logged.
History And Politics,History,History,1722,Yes,History & Politics,BookScan,Aligned — top-level in Thema (N) and BISAC,history-general,Done,Handle renamed (Batch 6)
History And Politics,True Crime,True Crime,113,Yes,History & Politics,BookScan,Aligned — BISAC has standalone,history-true-crime,Done,Handle renamed (Batch 6)
History And Politics,NZ History,NZ History,263,Yes,History & Politics + NZ,BookScan,NZ-specific — good,history-nz,Done,Handle renamed (Batch 6)
History And Politics,Religion,Religion & Spirituality,207,Yes,History & Politics,BookScan,MISALIGNED — standalone everywhere. Deferred to BookScan restructure.,history-religion,Done (handle) / Deferred (realignment),Handle renamed (Batch 6). Maincat realignment deferred to post-go-live (Batch 5).
History And Politics,Mythology,Mythology,160,Yes,History & Politics,BookScan,MISALIGNED — usually under Literature or Folklore,history-mythology,Done,Handle renamed (Batch 6)
History And Politics,Politics,—,2736,No,History & Politics,BookScan,Deferred — needs BookScan cleanup first (History/Politics overlap),—,Deferred,Action item logged: Louisa to clean up History vs Politics subcat assignments. Then create standalone collection + add to Non-Fiction umbrella.
History And Politics,Sociology,—,155,No,History & Politics,BookScan,Under Social Sciences in BISAC/Thema (J),—,Skipped,Not large enough for standalone collection.
History And Politics,NZ Military,—,35,No,NZ umbrella only,BookScan,Okay in NZ umbrella — niche count,—,No change,
History And Politics,NZ Sociology,—,77,No,NZ umbrella only,BookScan,Okay in NZ umbrella,—,No change,
Sciences,,Science & Nature,2652,Yes,Non-Fiction,BookScan,MISALIGNED — mixes science with business/philosophy/computing. Deferred to BookScan restructure.,science-and-nature,Deferred,Maincat realignment deferred to post-go-live (Batch 5).
Sciences,General Science,Popular Science,704,Yes,Science & Nature,BookScan,Aligned,science-popular,Done,Handle renamed (Batch 6)
Sciences,Environment,Environment,721,Yes,Science & Nature,BookScan,Aligned — under Earth Sciences (R) in Thema,science-environment,Done,Handle renamed (Batch 6)
Sciences,Business,Business,535,Yes,Science & Nature,BookScan,MISALIGNED — top-level everywhere. Deferred to BookScan restructure.,science-business,Done (handle) / Deferred (realignment),Handle renamed (Batch 6). Maincat realignment deferred to post-go-live (Batch 5).
Sciences,Philosophy,Philosophy,322,Yes,Science & Nature,BookScan,MISALIGNED — under Humanities (Thema Q). Deferred to BookScan restructure.,science-philosophy,Done (handle) / Deferred (realignment),Handle renamed (Batch 6). Maincat realignment deferred to post-go-live (Batch 5).
Sciences,Economics,Economics,174,Yes,Science & Nature,BookScan,MISALIGNED — under Business & Economics. Deferred to BookScan restructure.,science-economics,Done (handle) / Deferred (realignment),Handle renamed (Batch 6). Maincat realignment deferred to post-go-live (Batch 5).
Sciences,NZ Sciences,—,11,No,NZ umbrella only,BookScan,Okay in NZ umbrella — tiny count,—,No change,
Sciences,NZ Environment,—,232,No,NZ umbrella only,BookScan,Okay in NZ umbrella,—,No change,
Sciences,Computing,—,7,No,None,BookScan,Low priority — only 7 products,—,Skipped,
Te Ao Maori,,—,—,No standalone,NZ umbrella,BookScan,NZ-SPECIFIC — strong differentiator,—,No change,
Te Ao Maori,Maori Studies and History,Māori Studies & History,230,Yes,NZ,BookScan,NZ-specific — aligned with competitors,nz-maori-studies,Done,Handle renamed (Batch 6)
Te Ao Maori,Maori Picture Books,Māori Picture Books,183,Yes,NZ,BookScan,NZ-specific — good,nz-maori-picture-books,Done,Handle renamed (Batch 6)
Te Ao Maori,Maori Language,Te Reo Māori,134,Yes,NZ,BookScan,NZ-specific — aligned,nz-te-reo,Done,Handle renamed (Batch 6)
Te Ao Maori,Maori Art,—,45,No,NZ umbrella only,BookScan,Okay in NZ umbrella,—,No change,
The Arts,,The Arts,3460,Yes,—,BookScan,Aligned — top-level in Thema (A) and all retailers,the-arts,No change,
The Arts,Art,Art Books,1284,Yes,The Arts,BookScan,Aligned,arts-books,Done,Handle renamed (Batch 6)
The Arts,Craft,Craft,855,Yes,The Arts,BookScan,Aligned — BISAC has Crafts & Hobbies,arts-craft,Done,Handle renamed (Batch 6)
The Arts,Music And Performing Arts,Music & Performing Arts,589,Yes,The Arts,BookScan,Aligned,arts-music,Done,Handle renamed (Batch 6)
The Arts,Photography,Photography,192,Yes,The Arts,BookScan,Aligned,arts-photography,Done,Handle renamed (Batch 6)
The Arts,Architecture,Architecture,236,Yes,The Arts,BookScan,Aligned — BISAC has standalone,arts-architecture,Done,Handle renamed (Batch 6)
The Arts,Fashion,Fashion,252,Yes,The Arts,BookScan,Aligned,arts-fashion,Done,Handle renamed (Batch 6)
The Arts,Design,Design,159,Yes,The Arts,BookScan,Aligned,arts-design,Done,Handle renamed (Batch 6)
The Arts,NZ Art,—,151,No,NZ + Arts umbrellas,BookScan,Okay in umbrellas,—,No change,
Biographies,,Biography & Memoir,1954,Yes,Non-Fiction,BookScan,Aligned — top-level everywhere,biography,No change,
Biographies,Biography,—,—,Covered by parent,Biography & Memoir,BookScan,Aligned,—,No change,
Biographies,New Zealand Biography,NZ Biography,366,Yes,NZ umbrella,BookScan,NZ-specific — new standalone collection,nz-biography,Done,Collection created (Batch 3C). New handle.
Biographies,Essays,—,147,No,None,BookScan,Usually under Literary Collections (BISAC),—,Skipped,Not large enough for standalone.
Well Being,,Health & Wellbeing,3431,Yes,Non-Fiction,BookScan,MISALIGNED — catch-all. Deferred to BookScan restructure.,health-and-wellbeing,Deferred,Maincat realignment deferred to post-go-live (Batch 5).
Well Being,Food And Beverage,Food & Drink,1199,Yes,Health & Wellbeing,BookScan,MISALIGNED — top-level everywhere. Deferred to BookScan restructure.,health-food-and-drink,Done (handle) / Deferred (realignment),Handle renamed (Batch 6). Maincat realignment deferred to post-go-live (Batch 5).
Well Being,Psychology,Psychology,1046,Yes,Health & Wellbeing,BookScan,MISALIGNED — standalone elsewhere. Deferred to BookScan restructure.,health-psychology,Done (handle) / Deferred (realignment),Handle renamed (Batch 6). Maincat realignment deferred to post-go-live (Batch 5).
Well Being,Health,Health,446,Yes,Health & Wellbeing,BookScan,Aligned as subcat of Health & Wellbeing,health-general,Done,Handle renamed (Batch 6)
Well Being,Childrens Well Being,Children's Wellbeing,178,Yes,Health & Wellbeing,BookScan,Unusual — not a standard category,kids-wellbeing,Done,Handle renamed (Batch 6)
Well Being,Gender,Gender & Identity,168,Yes,Health & Wellbeing,BookScan,Usually under Social Sciences (Thema J),health-gender,Done,Handle renamed (Batch 6)
Well Being,Family,Family & Parenting,155,Yes,Health & Wellbeing,BookScan,Aligned — BISAC has Family & Relationships,health-family,Done,Handle renamed (Batch 6)
Well Being,Humour,Humour,151,Yes,Health & Wellbeing,BookScan,MISALIGNED — top-level elsewhere. Deferred to BookScan restructure.,health-humour,Done (handle) / Deferred (realignment),Handle renamed (Batch 6). Maincat realignment deferred to post-go-live (Batch 5).
Well Being,New Age,New Age & Spirituality,189,Yes,Health & Wellbeing,BookScan,Okay — Whitcoulls has Mind Body Spirit,health-new-age,Done,Handle renamed (Batch 6)
Travel,,Travel,1783,Yes,Non-Fiction,BookScan,Aligned — top-level everywhere,travel,No change,
Travel,Travel Literature,Travel Writing,579,Yes,Travel,BookScan,Aligned,travel-writing,Done,Handle renamed (Batch 6)
Travel,Travel Guides,Travel Guides,555,Yes,Travel,BookScan,Aligned,travel-guides,No change,Already had correct prefix
Travel,Languages,Language Learning,321,Yes,Travel,BookScan,Common indie grouping,travel-languages,Done,Handle renamed (Batch 6)
Travel,New Zealand Travel,—,192,No,NZ umbrella only,BookScan,NZ-specific — okay in NZ umbrella,—,No change,
Travel,Maps,Maps,197,Yes,None,BookScan,Now has standalone collection,maps,Done,Collection created (Batch 3E). New handle.
Travel,Atlases And Globes,—,28,No,None,BookScan,Tiny count — could merge with Maps,—,Skipped,
Stationery Puzzles And Gifts,,Gifts & Stationery,2009,Yes,—,BookScan,Aligned — Waterstones has Stationery & Gifts,gifts-stationery,No change,
Stationery Puzzles And Gifts,Games and Puzzles,Games & Puzzles,591,Yes,Gifts & Stationery,BookScan,Aligned — BISAC has Games & Activities,gifts-games-and-puzzles,Done,Handle renamed (Batch 6)
Stationery Puzzles And Gifts,Gifts,—,2007,Covered by parent,Gifts & Stationery,BookScan,Covered,—,No change,
Stationery Puzzles And Gifts,Stationery,—,2007,Covered by parent,Gifts & Stationery,BookScan,Covered,—,No change,
Stationery Puzzles And Gifts,Calendars And Diaries,Calendars & Diaries,39,Yes,Gifts & Stationery,BookScan,Okay — seasonal item,gifts-calendars,Done,Handle renamed (Batch 6)
Sport,,Sport,510,Yes,Non-Fiction,BookScan,Aligned — top-level in Thema (S) and BISAC,sport,No change,
Sport,Cycling,Cycling,59,Yes,Sport,BookScan,Okay — niche,sport-cycling,Done,Handle renamed (Batch 6)
Sport,Rugby,Rugby,38,Yes,Sport,BookScan,NZ-specific — good,sport-rugby,Done,Handle renamed (Batch 6)
Sport,General Sport And Fitness,Sport & Fitness,413,Yes,Sport,BookScan,Now has standalone collection,sport-fitness,Done,Collection created (Batch 3B). New handle.
The Garden,,Gardening,347,Yes,Non-Fiction,BookScan,Aligned — BISAC has Gardening,gardening,No change,
The Garden,Gardening,—,—,Covered by parent,Gardening,BookScan,Covered,—,No change,
The Garden,NZ Gardening,—,39,No,NZ umbrella only,BookScan,Okay in NZ umbrella,—,No change,
The Manawatu,,Manawatū,113,Yes,NZ,BookScan,NZ-SPECIFIC — unique local identity,nz-manawatu,Done,Handle renamed (Batch 6)
The Manawatu,Our Authors,Our Authors — Manawatū,92,Yes,NZ,BookScan,Excellent — local author spotlight,nz-manawatu-authors,Done,Handle renamed (Batch 6)
The Manawatu,Books About Palmy,Books About Palmy,21,Yes,NZ,BookScan,Excellent — hyperlocal,nz-books-about-palmy,Done,Handle renamed (Batch 6)
Reference,,—,—,No standalone,Non-Fiction umbrella,BookScan,Standalone elsewhere but low priority for BMBooks,—,No change,
Reference,Dictionaries,—,46,No,None,BookScan,Small count,—,No change,
Reference,Thesaurus,—,12,No,None,BookScan,Tiny count,—,No change,
Reference,General,—,323,No,None,BookScan,Resolved — 323 actual products (not 3947). Reference books correctly tagged.,—,Resolved,Batch 4: Shopify search was partial-matching "General Fiction" etc. Actual count is 323 Reference books. No action needed.
Audio,,—,—,No standalone,NOT in any umbrella,BookScan,Flagged for Louisa — keep or remove from web?,—,Deferred,Action item logged: Louisa to decide whether to remove from WEBLIST or create collection.
Audio,Audio Books,—,9,No,None,BookScan,Small count,—,Deferred,See Audio maincat.
Audio,Music CDs,—,58,No,None,BookScan,Non-book product,—,Deferred,See Audio maincat.
Motoring,,—,—,No standalone,Non-Fiction umbrella only,BookScan,Low priority — niche,—,No change,
Motoring,Formula One,—,54,No,None,BookScan,Niche,—,No change,
Motoring,Transport,Transport,262,Yes,None,BookScan,Now has standalone collection,transport,Done,Collection created (Batch 3D). New handle.
(orphan maincat=0),Motoring and Transport,—,62,No,None,BookScan,DATA ERROR — maincat=0 does not exist,—,No change,BookScan data issue — needs fixing on shop machine.
Featured,,—,—,Not browsable,—,BookScan,Correct — editorial/promotional,—,No change,
Featured,Forthcoming,Forthcoming Titles,20,Yes,—,BookScan,Aligned — promotional collection,forthcoming-titles,No change,
Featured,New Arrivals,New Releases,21,Yes,—,BookScan,Aligned — promotional collection,new-releases,No change,
Featured,Bestsellers,Bestsellers,54,Yes,—,BookScan,Aligned — promotional collection,bestsellers,No change,
Christmas,,—,—,No collection,—,BookScan,Seasonal — no collection needed year-round,—,No change,
Christmas,Christmas Books,—,77,No,None,BookScan,Seasonal,—,No change,
Christmas,Christmas Card Packs,—,24,No,None,BookScan,Seasonal,—,No change,
Christmas,Christmas Cooking,—,9,No,None,BookScan,Seasonal,—,No change,
Christmas,Stocking Fillers,—,27,No,None,BookScan,Seasonal,—,No change,
Christmas,Advent Calendars,—,5,No,None,BookScan,Seasonal,—,No change,
Vouchers,,—,—,No collection,—,BookScan,Okay — not a browsable category,—,No change,
Vouchers,BM Booksellers Vouchers,—,10,No,None,BookScan,Okay,—,No change,
Vouchers,NZ Booksellers Tokens,—,5,No,None,BookScan,Okay,—,No change,
—,—,Staff Picks,0,Yes (manual),—,Shopify-only,Aligned — best practice for indie curation,staff-picks,No change,
—,—,NZ Authors,0,Yes (manual),—,Shopify-only,Aligned — NZ-specific curation,nz-authors,No change,
—,—,Home page,0,Yes (manual),—,Shopify default,System collection,frontpage,No change,
—,,New Zealand (umbrella),3453,Yes,—,Shopify umbrella,NZ-SPECIFIC — 19 tags. Strong differentiator.,new-zealand,No change,
—,,Non-Fiction (umbrella),13674,Yes,—,Shopify umbrella,Aligned — Audio maincat flagged for Louisa,non-fiction,Deferred,Audio decision pending Louisa.
—,,Fiction (umbrella),11122,Yes,—,Shopify umbrella,Aligned — enrichment genres now included,fiction,Done,5 enrichment genre tags added (Batch 1).
